id,name,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
4443,Alonzo Mourning,838,686,25975,5116,9701,0.527,22,89,0.247,5094,9612,0.53,0.529,4057,5862,0.692,2184,4953,7137,946,414,2356,2209,2810,14311
4444,Chris Mullin,986,822,32163,6740,13243,0.509,815,2120,0.384,5925,11123,0.533,0.54,3616,4178,0.865,1026,3008,4034,3450,1530,549,2315,2050,17911
4445,Calvin Murphy,1002,0,30607,7247,15030,0.482,10,72,0.139,7237,14958,0.484,0.483,3445,3864,0.892,499,952,2103,4402,1165,51,822,3250,17949
4446,Dikembe Mutombo,1196,997,36791,4169,8045,0.518,0,2,0,4169,8043,0.518,0.518,3391,4960,0.684,3808,8551,12359,1240,494,3289,2173,3383,11729
4447,Don Nelson,1053,,21685,4017,8373,0.48,,,,4017,8373,0.48,0.48,2864,3744,0.765,273,723,5192,1526,65,35,,2451,10898
4448,Hakeem Olajuwon,1238,1186,44222,10749,20991,0.512,25,124,0.202,10724,20867,0.514,0.513,5423,7621,0.712,4034,9714,13748,3058,2162,3830,3667,4383,26946
4449,Robert Parish,1611,1134,45704,9614,17914,0.537,0,6,0,9614,17908,0.537,0.537,4106,5694,0.721,4598,10117,14715,2180,1219,2361,3183,4443,23334
4450,Gary Payton,1335,1233,47117,8708,18698,0.466,1132,3570,0.317,7576,15128,0.501,0.496,3265,4480,0.729,1392,3877,5269,8966,2445,285,3030,3217,21813
4451,Drazen Petrovic,290,149,7669,1705,3369,0.506,255,583,0.437,1450,2786,0.52,0.544,796,946,0.841,240,429,669,701,265,27,596,751,4461
4452,Bob Pettit,792,,30690,7349,16872,0.436,,,,7349,16872,0.436,0.436,6182,8119,0.761,,,12849,2369,,,,2529,20880
4453,Andy Phillip,609,,15378,1895,5075,0.373,,,,1895,5075,0.373,0.373,1530,2177,0.703,,,2395,3366,,,,1645,5320
4454,Scottie Pippen,1178,1053,41069,7420,15700,0.473,978,3002,0.326,6442,12698,0.507,0.504,3122,4437,0.704,2068,5426,7494,6135,2307,947,3257,3329,18940
4455,Jim Pollard,385,,9391,1985,5587,0.355,,,,1985,5587,0.355,0.355,1008,1325,0.761,,,2487,1275,,,,1001,4978
4456,Frank Ramsey,623,,15330,2949,7382,0.399,,,,2949,7382,0.399,0.399,2480,3083,0.804,,,3410,1134,,,,2158,8378
4457,Willis Reed,650,,23073,4859,10202,0.476,,,,4859,10202,0.476,0.476,2465,3298,0.747,47,94,8414,1186,12,21,,2411,12183
4458,Mitch Richmond,976,902,34309,7305,16038,0.455,1326,3417,0.388,5979,12621,0.474,0.497,4561,5365,0.85,881,2920,3801,3398,1211,254,2579,2503,20497
4459,Pat Riley,528,,8187,1619,3914,0.414,,,,1619,3914,0.414,0.414,668,948,0.705,79,184,855,913,112,13,,1152,3906
4460,Arnie Risen,577,,12690,2265,6034,0.375,,,,2265,6034,0.375,0.375,2108,2989,0.705,,,5011,958,,,,2233,6638
4461,Oscar Robertson,1040,,43886,9508,19620,0.485,,,,9508,19620,0.485,0.485,7694,9185,0.838,71,208,7804,9887,77,4,,2931,26710
4462,David Robinson,987,985,34271,7365,14221,0.518,25,100,0.25,7340,14121,0.52,0.519,6035,8201,0.736,3083,7414,10497,2441,1388,2954,2417,2835,20790
4463,Guy Rodgers,892,,28663,4125,10908,0.378,,,,4125,10908,0.378,0.378,2165,3003,0.721,,,3791,6917,,,,2630,10415
4464,Dennis Rodman,911,573,28839,2766,5310,0.521,82,355,0.231,2684,4955,0.542,0.529,1069,1832,0.584,4329,7625,11954,1600,611,531,1484,2843,6683
4465,Bill Russell,963,,40726,5687,12930,0.44,,,,5687,12930,0.44,0.44,3148,5614,0.561,,,21620,4100,,,,2592,14522
4466,Arvydas Sabonis,470,314,11375,2082,4160,0.5,136,415,0.328,1946,3745,0.52,0.517,1329,1690,0.786,734,2702,3436,964,370,494,837,1290,5629
4467,Ralph Sampson,456,363,13591,2924,6012,0.486,10,58,0.172,2914,5954,0.489,0.487,1181,1786,0.661,1174,2837,4011,1038,390,752,1363,1590,7039
4468,Tom Sanders,916,,22164,3416,7988,0.428,,,,3416,7988,0.428,0.428,1934,2520,0.767,,,5798,1026,,,,3044,8766
4469,Dolph Schayes,996,,29800,5863,15427,0.38,,,,5863,15427,0.38,0.38,6712,7904,0.849,,,11256,3072,,,,3432,18438
4470,Bill Sharman,711,,21793,4761,11188,0.426,,,,4761,11188,0.426,0.426,3143,3559,0.883,,,2793,2101,,,,1925,12665
4471,Jerry Sloan,755,,25750,4116,9646,0.427,,,,4116,9646,0.427,0.427,2339,3239,0.722,367,843,5615,1925,381,32,,2700,10571
4472,John Stockton,1504,1300,47764,7039,13658,0.515,845,2203,0.384,6194,11455,0.541,0.546,4788,5796,0.826,966,3085,4051,15806,3265,315,4244,3942,19711
4473,Maurice Stokes,202,,7544,1251,3567,0.351,,,,1251,3567,0.351,0.351,813,1165,0.698,,,3492,1062,,,,789,3315
4474,Isiah Thomas,979,971,35516,7194,15904,0.452,398,1373,0.29,6796,14531,0.468,0.465,4036,5316,0.759,951,2527,3478,9061,1861,249,3682,2971,18822
4475,David Thompson,509,69,16305,4213,8365,0.504,23,83,0.277,4190,8282,0.506,0.505,2815,3616,0.778,737,1184,1921,1631,459,407,1129,1287,11264
4476,John Thompson,74,,771,98,239,0.41,,,,98,239,0.41,0.41,66,111,0.595,,,260,19,,,,156,262
4477,Nate Thurmond,964,,35881,5521,13105,0.421,,,,5521,13105,0.421,0.421,3395,5089,0.667,744,1827,14464,2575,125,553,,2624,14437
4478,Jack Twyman,823,,26147,6237,13873,0.45,,,,6237,13873,0.45,0.45,3366,4325,0.778,,,5424,1861,,,,2782,15840
4479,Wes Unseld,984,,35832,4369,8586,0.509,3,6,0.5,4366,8580,0.509,0.509,1883,2976,0.633,2085,4974,13769,3822,628,367,579,2762,10624
4480,Chet Walker,1032,,33433,6876,14628,0.47,,,,6876,14628,0.47,0.47,5079,6384,0.796,245,593,7314,2126,117,10,,2727,18831
4481,Bill Walton,468,117,13250,2552,4900,0.521,0,4,0,2552,4896,0.521,0.521,1111,1683,0.66,1103,3820,4923,1590,380,1034,865,1298,6215
4482,Bobby Wanzer,508,,12128,2066,5235,0.395,,,,2066,5235,0.395,0.395,2179,2722,0.801,,,1979,1644,,,,1143,6311
4483,Jerry West,932,,36571,9016,19032,0.474,,,,9016,19032,0.474,0.474,7160,8801,0.814,30,86,5366,6238,81,23,,2435,25192
4484,Jo Jo White,837,,29941,6169,13884,0.444,1,6,0.167,6168,13878,0.444,0.444,2060,2471,0.834,472,1468,3345,4095,686,112,504,2056,14399
4485,Jamaal Wilkes,828,245,27275,6226,12471,0.499,7,52,0.135,6219,12419,0.501,0.5,2185,2878,0.759,1627,3490,5117,2050,1049,262,1211,2296,14644
4486,Lenny Wilkens,1077,,38064,6189,14327,0.432,,,,6189,14327,0.432,0.432,5394,6973,0.774,118,279,5030,7211,174,26,,3285,17772
4487,Dominique Wilkins,1074,995,38113,9963,21589,0.461,711,2231,0.319,9252,19358,0.478,0.478,6031,7438,0.811,2950,4219,7169,2677,1378,642,2669,2061,26668
4488,James Worthy,926,717,30001,6878,13204,0.521,117,486,0.241,6761,12718,0.532,0.525,2447,3184,0.769,1561,3147,4708,2791,1041,624,1859,1975,16320
4489,George Yardley,472,,15767,3193,7572,0.422,,,,3193,7572,0.422,0.422,2677,3434,0.78,,,4220,815,,,,1426,9063
