726,Ray Allen,1300,1149,46344,8567,18955,.452,2973,7429,.400,5594,11526,.485,.530,4398,4920,.894,1230,4042,5272,4361,1451,244,2709,2858,24505,,2013
727,Willie Allen,,1971
728,Odis Allison,36,,166,17,78,.218,,,,17,78,.218,.218,33,61,.541,,,45,10,,,,34,67,,1971
729,Lance Allred,3,0,10,1,4,.250,0,0,,1,4,.250,.250,1,2,.500,0,1,1,0,0,0,0,1,3,,2007
730,Darrell Allums,22,,276,23,67,.343,0,1,.000,23,66,.348,.343,13,22,.591,19,46,65,25,5,8,23,51,59,,1980
731,Morris Almond,38,1,361,43,113,.381,7,24,.292,36,89,.404,.412,26,35,.743,10,36,46,12,12,4,19,42,119,,2011
732,Derrick Alston,139,42,2657,318,650,.489,1,7,.143,317,643,.493,.490,114,234,.487,228,297,525,94,95,87,112,298,751,,1996
733,Rafer Alston,671,452,19392,2450,6391,.383,996,2815,.354,1454,3576,.407,.461,903,1238,.729,247,1644,1891,3202,813,105,1195,1408,6799,,2009
734,Peter Aluma,2,0,5,1,2,.500,0,0,,1,2,.500,.500,0,0,,1,1,2,0,1,1,2,4,2,,1998
735,John Amaechi,294,93,4811,663,1646,.403,1,13,.077,662,1633,.405,.403,510,760,.671,230,542,772,228,90,94,386,499,1837,,2002
736,Ashraf Amaya,85,34,1248,133,292,.455,1,2,.500,132,290,.455,.457,112,177,.633,133,222,355,36,29,13,67,180,379,,1996
737,Andrew Anderson,,1969
738,Antonio Anderson,1,0,15,1,3,.333,0,0,,1,3,.333,.333,0,0,,1,0,1,0,0,0,1,1,2,,2009
739,Bob Anderegg,33,,373,55,143,.385,,,,55,143,.385,.385,23,42,.548,,,69,29,,,,32,133,,1959
740,Cliff Anderson,81,,581,71,202,.351,,,,71,202,.351,.351,105,177,.593,,,103,68,,,,105,247,,1970
741,Dan Anderson,,1968
742,Dan Anderson,95,,1067,135,286,.472,,,,135,286,.472,.472,77,91,.846,23,68,91,166,36,3,,102,347,,1975
743,David Andersen,103,0,1264,203,461,.440,35,101,.347,168,360,.467,.478,60,89,.674,74,218,292,57,20,21,59,159,501,,2010
744,Derek Anderson,615,390,17975,2419,5922,.408,645,1891,.341,1774,4031,.440,.463,1874,2198,.853,440,1548,1988,2083,691,87,1052,1230,7357,,2007
745,Dwight Anderson,5,0,33,7,14,.500,0,0,,7,14,.500,.500,7,10,.700,0,2,2,3,1,0,5,7,21,,1982
746,Eric Anderson,27,0,83,12,35,.343,2,2,1.000,10,33,.303,.371,16,27,.593,12,19,31,5,3,2,7,23,42,,1993
747,Greg Anderson,680,315,14040,2011,4090,.492,2,23,.087,2009,4067,.494,.492,929,1668,.557,1432,2814,4246,385,480,590,926,1741,4953,,1997
748,Jerome Anderson,49,,290,51,104,.490,,,,51,104,.490,.490,25,36,.694,13,12,25,16,9,5,,51,127,,1976
749,J.J. Anderson,157,2,1970,306,658,.465,0,9,.000,306,649,.471,.465,139,249,.558,186,253,439,110,107,39,131,251,751,,1984
750,Kenny Anderson,858,693,25868,4002,9512,.421,547,1580,.346,3455,7932,.436,.449,2238,2833,.790,670,1971,2641,5196,1258,111,1769,1974,10789,,2004
751,Kim Anderson,21,,224,24,77,.312,,,,24,77,.312,.312,15,28,.536,17,28,45,15,4,5,22,42,63,,1978
752,Michael Anderson,36,12,730,73,175,.417,1,7,.143,72,168,.429,.420,57,82,.695,44,45,89,153,44,3,84,64,204,,1988
