5,Arron Afflalo,2013-14,28,ORL,NBA,SG,73,2552,16.0,.574,.297,.332,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,,4.3,1.0,5.3,.099,,1.7,-2.3,-0.6,0.9,
5,Arron Afflalo,2014-15,29,TOT,NBA,SG,78,2502,10.7,.533,.377,.224,1.1,9.7,5.3,8.2,0.8,0.2,10.7,19.0,,1.6,1.0,2.6,.050,,-0.5,-1.3,-1.8,0.1,
5,Arron Afflalo,2014-15,29,DEN,NBA,SG,53,1750,11.7,.533,.370,.230,1.3,10.2,5.6,9.3,0.9,0.2,10.3,19.9,,1.4,0.4,1.8,.050,,0.0,-1.6,-1.6,0.2,
5,Arron Afflalo,2014-15,29,POR,NBA,SG,25,752,8.2,.533,.396,.207,0.9,8.5,4.8,5.5,0.6,0.2,11.8,16.7,,0.2,0.5,0.8,.049,,-1.5,-0.8,-2.3,-0.1,
5,Arron Afflalo,2015-16,30,NYK,NBA,SG,47,1602,12.1,.540,.293,.168,1.0,10.4,5.7,9.5,0.6,0.4,7.5,18.8,,1.8,0.5,2.4,.070,,0.3,-2.0,-1.8,0.1,
6,Alexis Ajinca,2008-09,20,CHA,NBA,PF,31,182,7.0,.430,.029,.406,6.2,14.2,10.2,2.8,2.1,2.7,12.9,24.2,,-0.3,0.3,-0.1,-0.018,,-8.1,-1.2,-9.3,-0.3,
6,Alexis Ajinca,2009-10,21,CHA,NBA,C,6,30,6.3,.479,.000,.100,4.1,11.8,8.0,0.0,1.8,2.7,16.1,19.3,,-0.1,0.0,0.0,-0.013,,-8.5,-2.0,-10.4,-0.1,
6,Alexis Ajinca,2010-11,22,TOT,NBA,C,34,340,12.2,.507,.256,.135,5.9,21.5,13.6,4.8,1.7,4.2,11.3,21.1,,0.0,0.4,0.4,.052,,-3.1,-0.3,-3.4,-0.1,
6,Alexis Ajinca,2010-11,22,DAL,NBA,C,10,75,12.8,.435,.219,.094,8.1,18.0,13.3,4.3,2.1,5.1,2.9,21.4,,0.0,0.1,0.1,.084,,-3.6,1.5,-2.1,0.0,
6,Alexis Ajinca,2010-11,22,TOR,NBA,C,24,265,12.0,.530,.267,.149,5.2,22.5,13.6,4.9,1.6,4.0,13.6,21.1,,0.0,0.2,0.2,.042,,-2.9,-0.8,-3.8,-0.1,
6,Alexis Ajinca,2013-14,25,NOP,NBA,C,56,951,14.6,.589,.004,.269,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,,1.2,0.9,2.1,.104,,-1.5,0.8,-0.7,0.3,
