,pid,pname,ppm,rpm,apm,MP
112,113,Tyson Chandler,10.9876417563,11.700785112,1.07298633324,27512
143,144,Samuel Dalembert,11.3325325695,11.5454125474,0.773353044442,21646
268,269,Udonis Haslem,10.9225322192,9.59354199122,1.21342586036,21183
272,273,Brendan Haywood,10.6728051392,9.39507494647,0.85182012848,18680
490,491,Zaza Pachulia,11.9961290323,9.94064516129,2.07483870968,18600
71,72,Andrew Bogut,12.7518731676,10.9594961451,2.74427190792,18418
124,125,Nick Collison,10.406805708,9.09484083425,1.78616904501,18220
469,470,Joakim Noah,11.3782051282,11.5106837607,3.64102564103,16848
506,507,Kendrick Perkins,8.9428537199,9.53588115491,1.69282376902,16694
442,443,Nazr Mohammed,13.1983366935,10.6693548387,0.850554435484,15872
189,190,Reggie Evans,7.60364757257,13.3277677883,1.05882352941,15572
344,345,DeAndre Jordan,11.2886781269,12.7089508002,0.735032602253,15183
627,628,Anderson Varejao,10.9293982265,10.805117444,1.72774656468,14773
269,270,Spencer Hawes,13.6675794085,9.03450164294,2.89320920044,14608
611,612,Jason Thompson,12.6975687031,9.41717749156,1.54969350506,14519
233,234,Marcin Gortat,14.2812803104,10.8992656228,1.34682000831,14434
322,323,Amir Johnson,12.1114731369,9.16409012132,1.76942807626,14425
300,301,Serge Ibaka,14.426636884,9.29526734608,0.726232025688,14326
298,299,Kris Humphries,13.4719902839,10.9442841961,1.38545620161,13174
222,223,Taj Gibson,13.1673961516,9.13898752994,1.38541580642,12109
270,271,Chuck Hayes,7.34320778671,9.88133728311,2.37968683876,11815
17,18,Chris Andersen,11.0964131264,10.296616637,0.986008649199,11793
405,406,Jason Maxiell,11.0129185341,8.14974953862,0.841550224097,11379
388,389,Robin Lopez,13.7871660602,8.6269636993,0.99689358303,11267
60,61,Andris Biedrins,10.4873497219,11.727615288,1.50834380047,11146
613,614,Tristan Thompson,12.3221712389,10.7827784829,0.998145074685,10243
14,15,Al-Farouq Aminu,10.6543852623,8.44132959551,1.75891069283,9988
148,149,Ed Davis,12.0096596136,10.7884084637,1.42410303588,8696
32,33,Omer Asik,10.0083353763,13.3091443981,1.11203726404,8158
620,621,Ronny Turiaf,9.91571072319,7.88678304239,2.77406483791,8020
609,610,Tyrus Thomas,14.0378214826,8.79576399395,1.57488653555,7932
210,211,Dan Gadzuric,11.3871423072,10.7450275889,0.905427948159,7793
362,363,Kosta Koufos,12.6350306585,10.897893895,0.839776059717,7502
74,75,Trevor Booker,11.4119226638,9.21750805585,1.50805585392,7448
320,321,Jonas Jerebko,12.8163153572,7.92827812757,1.44867232412,7306
507,508,Johan Petro,10.9160011016,9.10162489672,1.125309832,7262
252,253,Tyler Hansbrough,14.3426895685,9.01382488479,0.904901550063,7161
61,62,Bismack Biyombo,7.68,10.8429473684,0.505263157895,7125
240,241,Draymond Green,12.0982357092,9.1511644319,4.39520112915,7085
397,398,Ian Mahinmi,10.6913392993,9.27711208858,0.906415895647,6593
453,454,Timofey Mozgov,13.6720524716,9.96320588706,1.07118860982,6251
557,558,Kevin Seraphin,14.0515518148,8.01683324566,1.34455549711,5703
12,13,Lavoy Allen,9.94822006472,9.68932038835,1.94822006472,5562
15,16,Lou Amundson,10.2744237102,10.096597146,1.23161361142,5466
419,420,Dominic McGuire,6.32086761406,7.86910994764,2.8406881077,5348
356,357,Michael Kidd-Gilchrist,12.4467005076,8.39255499154,1.72588832487,5319
683,684,Tyler Zeller,14.1597222222,8.91666666667,1.81944444444,5184
512,513,Mason Plumlee,14.141101502,10.0937642239,2.24487938097,4394
164,165,Gorgui Dieng,12.3170842825,10.5785876993,2.230523918,4390
2,3,Steven Adams,9.93161990097,9.99952841311,1.22235321858,4241
682,683,Cody Zeller,12.152238806,8.90149253731,2.09552238806,4020
519,520,Josh Powell,11.1285930408,8.45990922844,1.46142208775,3966
470,471,Nerlens Noel,12.190215906,9.70101120525,1.97758950533,3659
225,226,Rudy Gobert,11.0382932166,12.4562363239,1.66411378556,3656
118,119,Earl Clark,11.2859504132,7.71570247934,1.32892561983,3630
513,514,Miles Plumlee,10.7487179487,10.7282051282,0.861538461538,3510
380,381,Meyers Leonard,12.5463917526,8.80412371134,1.62886597938,3492
29,30,Hilton Armstrong,9.378330373,8.16341030195,1.08703374778,3378
541,542,Thomas Robinson,12.7828518173,12.4249767008,1.39794967381,3219
486,487,Kyle O'Quinn,13.1911905522,10.6747526333,2.72326843281,3133
341,342,Solomon Jones,9.76843467012,7.61448900388,1.15265200517,3092
381,382,Jon Leuer,14.414039649,8.90347741306,1.79005524862,3077
38,39,Renaldo Balkman,10.5039164491,9.03524804178,1.55091383812,3064
586,587,Greg Stiemsma,7.57086614173,8.01968503937,1.14566929134,3048
5,6,Alexis Ajinca,14.3560528993,10.6205493388,1.42828077314,2949
378,379,Alex Len,10.9140271493,10.9014966934,1.04002784546,2873
0,1,Quincy Acy,10.159430605,8.68612099644,1.49893238434,2810
550,551,Robert Sacre,10.1694915254,7.62033898305,1.66779661017,2655
188,189,Jeremy Evans,12.0183346066,8.80061115355,1.47135217723,2618
49,50,Aron Baynes,13.8758949881,10.5250596659,1.64677804296,2514
