,pid,pname,ppm,rpm,apm,MP
88,89,Kobe Bryant,24.884037178,5.23311084773,4.6964007236,48093
508,509,Paul Pierce,20.8357363998,5.91348960637,3.72339672711,45220
108,109,Vince Carter,20.9295553704,5.14260502966,3.83401147115,40798
603,604,Jason Terry,16.6941938763,2.82566382925,4.76950832169,39355
311,312,LeBron James,25.0742838905,6.57400462778,6.3518710604,37599
494,495,Tony Parker,18.6829397718,3.23905545237,6.59485274609,33921
136,137,Jamal Crawford,18.057400722,2.7963898917,4.16101083032,33240
24,25,Carmelo Anthony,24.7432364729,6.55498496994,3.09431362725,31936
636,637,Dwyane Wade,23.8454417388,4.86134030992,5.83819682029,29814
183,184,Monta Ellis,19.1186986879,3.53425918821,4.82559656257,26066
223,224,Manu Ginobili,19.2527417539,5.07251574163,5.43430215587,23981
177,178,Kevin Durant,25.9884948914,6.64394264617,3.41392633296,23294
650,651,Russell Westbrook,22.6626790493,5.77994648198,7.83692743586,19059
591,592,Rodney Stuckey,16.5799940281,3.83756345178,4.71687070767,16745
254,255,James Harden,22.5199760048,4.92813437313,5.17216556689,16670
142,143,Stephen Curry,22.6021783275,4.39948310873,7.07771829426,16251
662,663,Lou Williams,18.7542899776,3.15145486197,4.48768962945,16084
190,191,Tyreke Evans,17.9937694704,5.27601246106,5.71464174455,14445
540,541,Nate Robinson,17.6575875486,3.75097276265,4.73670557717,13878
543,544,Derrick Rose,20.2669222828,3.7773189795,6.42383129332,13562
81,82,Aaron Brooks,17.1283256399,2.91263113722,5.13336130927,11915
639,640,Kemba Walker,18.1968875056,4.07220987105,5.72094264117,11245
383,384,Damian Lillard,20.5393006993,3.78629370629,6.17286713287,10725
360,361,Brandon Knight,17.3386911596,3.83696900115,4.99770378875,10452
606,607,Isaiah Thomas,20.6008583691,3.15266707541,6.19865113427,9786
305,306,Kyrie Irving,21.9889663787,3.68356406787,5.85697928594,9607
308,309,Reggie Jackson,17.2993099857,4.86967842729,6.16794688192,7681
482,483,Victor Oladipo,16.930204206,4.67967083206,4.47119780555,6562
137,138,Jordan Crawford,17.7618147448,3.77126654064,4.61058601134,6348
371,372,Zach LaVine,16.4389182468,4.17407522537,5.02455704072,3217
676,677,Tony Wroten,18.7724317295,4.24837451235,5.1144343303,3076
53,54,Rodrigue Beaubois,15.9861878453,4.20165745856,4.64917127072,2896
