,pid,pname,ppm,rpm,apm,MP,dist
194,317,Richard Jefferson,16.0315481015,4.98734335058,2.58233056924,32078,22.0960878628
301,526,Tayshaun Prince,12.9344215074,4.94402304369,2.74795967355,31245,32.5012524179
18,31,Metta World Peace,14.9859844701,5.09198698328,3.02735444792,31037,23.0119139281
64,94,Caron Butler,15.7942144956,5.57787770421,2.54930425238,28243,24.7857364837
101,161,Luol Deng,15.8280059799,6.24304121877,2.4064924895,28094,28.4366162115
255,435,Mike Miller,14.2549460106,5.64823537938,3.44111892166,27598,25.9520611194
113,177,Mike Dunleavy,14.7221426636,5.59430274413,2.9246429539,25837,26.0561417553
214,362,Kyle Korver,13.6284987277,4.26317702654,2.50090876045,24759,30.3856532284
373,641,Gerald Wallace,14.4590999151,7.04249727063,2.5110185597,24731,35.4420967702
317,552,John Salmons,12.6103413315,3.95860087868,3.31987157824,23672,31.2348174467
387,665,Marvin Williams,13.0194495413,6.46183486239,1.62,21800,42.5597377058
16,29,Trevor Ariza,12.973553719,6.02479338843,2.62809917355,21780,35.5427058734
395,682,Thaddeus Young,16.3707762557,6.8401826484,1.76621004566,19710,34.7661624554
154,245,Jeff Green,15.7494275101,5.52338303394,1.85761538853,19651,30.0796732874
28,44,Matt Barnes,12.5711619225,6.95286980868,2.6486234251,19287,40.5505417853
2,5,Arron Afflalo,14.690864142,3.81481065288,2.47780649511,17798,26.6409834076
66,96,Rasual Butler,12.7511835876,4.04418726986,1.37822198843,17109,41.1830676888
129,210,Channing Frye,13.8974662562,7.31423158892,1.5664219749,16892,43.7815556097
31,48,Nicolas Batum,13.28547885,5.97472990295,3.71580296649,16383,30.5813694748
240,405,Wesley Matthews,15.6429244986,3.44904758911,2.27899666813,15907,25.5212157201
26,42,Andrea Bargnani,17.9316715171,5.78742249779,1.48728331014,15806,30.9092418083
111,175,Jared Dudley,12.5750286369,5.03092783505,2.31615120275,15714,36.3272417507
221,376,Courtney Lee,12.7878593017,3.40531155553,2.04874284612,15551,36.9940332993
30,47,Brandon Bass,14.2750958352,7.55974270678,1.33090767332,15391,45.5455389616
6,14,Tony Allen,13.2853243208,5.54764071234,2.20408163265,15386,35.2576642654
183,295,Josh Howard,17.0501628664,6.76846905537,1.91609120521,15350,32.2975203829
55,80,Corey Brewer,14.1928973922,4.29065653256,2.40833442537,15262,28.7840604101
321,557,Thabo Sefolosha,9.12942743009,5.96804260985,2.31531291611,15020,52.5657619434
155,246,Willie Green,14.7550564838,3.17310424136,2.47906378949,14783,27.4770594782
46,70,Keith Bogans,10.5494596269,4.50278791216,2.1460728299,14527,45.1678108933
376,649,Martell Webster,13.0815006468,4.68564036223,1.5213454075,13914,39.1760878512
77,114,Wilson Chandler,15.8698763826,6.13142485361,2.04033832141,13833,30.4646608615
143,227,Ryan Gomes,13.1721013147,5.98707568893,1.90388472109,13463,38.7141724688
49,73,Matt Bonner,12.4903498191,6.4107358263,1.4900482509,13264,44.9448599217
279,490,Travis Outlaw,14.5730078305,5.45555043759,1.42054352833,13026,36.5065100513
253,432,C.J. Miles,16.798136646,4.18695652174,2.10186335404,12880,23.4981659137
38,55,Marco Belinelli,14.8990711108,3.15572554836,2.55436734057,12811,26.5265724546
391,676,Dorell Wright,13.4765472313,6.13583061889,2.49185667752,12280,34.7283196478
131,212,Danilo Gallinari,17.4308537194,5.40389415876,2.25861208188,12018,23.0079092026
292,510,Mickael Pietrus,13.9451046025,5.19062761506,1.34058577406,11950,38.4189924651
133,214,Francisco Garcia,13.1298405467,4.25208807897,2.26879271071,11853,33.7542228193
