,pid,pname,ppm,rpm,apm,MP,dist
76,113,Tyson Chandler,10.9876417563,11.700785112,1.07298633324,27512,78.0327481787
94,144,Samuel Dalembert,11.3325325695,11.5454125474,0.773353044442,21646,77.6345565817
163,269,Udonis Haslem,10.9225322192,9.59354199122,1.21342586036,21183,65.3499609153
167,273,Brendan Haywood,10.6728051392,9.39507494647,0.85182012848,18680,66.8900261218
280,491,Zaza Pachulia,11.9961290323,9.94064516129,2.07483870968,18600,60.6599518631
48,72,Andrew Bogut,12.7518731676,10.9594961451,2.74427190792,18418,63.3880394835
83,125,Nick Collison,10.406805708,9.09484083425,1.78616904501,18220,61.6971783455
271,470,Joakim Noah,11.3782051282,11.5106837607,3.64102564103,16848,69.0169433605
289,507,Kendrick Perkins,8.9428537199,9.53588115491,1.69282376902,16694,69.0926801643
259,443,Nazr Mohammed,13.1983366935,10.6693548387,0.850554435484,15872,67.9654441632
119,190,Reggie Evans,7.60364757257,13.3277677883,1.05882352941,15572,96.7071713335
205,345,DeAndre Jordan,11.2886781269,12.7089508002,0.735032602253,15183,85.2008836139
364,628,Anderson Varejao,10.9293982265,10.805117444,1.72774656468,14773,70.0337458971
164,270,Spencer Hawes,13.6675794085,9.03450164294,2.89320920044,14608,47.9228643531
352,612,Jason Thompson,12.6975687031,9.41717749156,1.54969350506,14519,58.0093494487
197,323,Amir Johnson,12.1114731369,9.16409012132,1.76942807626,14425,57.0589836881
184,299,Kris Humphries,13.4719902839,10.9442841961,1.38545620161,13174,66.5609445769
244,409,Luc Mbah a Moute,9.85020143057,7.06799309381,1.42366192551,12163,56.7444729371
140,223,Taj Gibson,13.1673961516,9.13898752994,1.38541580642,12109,56.121815766
165,271,Chuck Hayes,7.34320778671,9.88133728311,2.37968683876,11815,74.1864433259
10,18,Chris Andersen,11.0964131264,10.296616637,0.986008649199,11793,69.8460162714
241,406,Jason Maxiell,11.0129185341,8.14974953862,0.841550224097,11379,60.1718335885
231,389,Robin Lopez,13.7871660602,8.6269636993,0.99689358303,11267,54.1858233421
40,61,Andris Biedrins,10.4873497219,11.727615288,1.50834380047,11146,77.6760247137
354,614,Tristan Thompson,12.3221712389,10.7827784829,0.998145074685,10243,69.7089934209
7,15,Al-Farouq Aminu,10.6543852623,8.44132959551,1.75891069283,9988,57.7904380392
96,149,Ed Davis,12.0096596136,10.7884084637,1.42410303588,8696,68.4762383917
358,620,P.J. Tucker,10.1239396795,7.25259189444,2.02309142319,8488,53.4816557964
20,33,Omer Asik,10.0083353763,13.3091443981,1.11203726404,8158,90.3648676862
359,621,Ronny Turiaf,9.91571072319,7.88678304239,2.77406483791,8020,54.1724751346
350,610,Tyrus Thomas,14.0378214826,8.79576399395,1.57488653555,7932,51.1524583292
130,211,Dan Gadzuric,11.3871423072,10.7450275889,0.905427948159,7793,72.0881304738
215,363,Kosta Koufos,12.6350306585,10.897893895,0.839776059717,7502,70.5433248191
50,75,Trevor Booker,11.4119226638,9.21750805585,1.50805585392,7448,60.5318906779
