,pid,pname,ppm,rpm,apm,MP,dist
60,89,Kobe Bryant,24.884037178,5.23311084773,4.6964007236,48093,31.288345475
291,509,Paul Pierce,20.8357363998,5.91348960637,3.72339672711,45220,17.6329347163
73,109,Vince Carter,20.9295553704,5.14260502966,3.83401147115,40798,13.3696558388
199,329,Joe Johnson,16.922107561,4.07134352054,4.17493550308,40312,9.04924231598
347,604,Jason Terry,16.6941938763,2.82566382925,4.76950832169,39355,16.2075548159
191,312,LeBron James,25.0742838905,6.57400462778,6.3518710604,37599,42.6361313151
89,137,Jamal Crawford,18.057400722,2.7963898917,4.16101083032,33240,11.753553142
14,25,Carmelo Anthony,24.7432364729,6.55498496994,3.09431362725,31936,36.3432529604
369,637,Dwyane Wade,23.8454417388,4.86134030992,5.83819682029,29814,30.6277171553
116,184,Monta Ellis,19.1186986879,3.53425918821,4.82559656257,26066,8.86169865859
137,219,Rudy Gay,18.625760974,5.93463633451,2.2882089074,24968,23.9985386262
141,224,Manu Ginobili,19.2527417539,5.07251574163,5.43430215587,23981,15.168723683
114,178,Kevin Durant,25.9884948914,6.64394264617,3.41392633296,23294,40.8899174426
333,577,J.R. Smith,17.8079002079,4.36091476091,2.98378378378,21645,13.2047984565
239,404,Kevin Martin,20.7937896965,3.79223712068,2.26619618913,21255,22.2721098223
145,231,Ben Gordon,19.592654424,3.27192379456,3.30197387803,20366,12.2835988096
378,651,Russell Westbrook,22.6626790493,5.77994648198,7.83692743586,19059,44.4982867346
148,236,Danny Granger,19.1907827122,5.62384378212,2.1362038189,18487,24.0898843813
127,205,Randy Foye,14.9202777937,3.05802674625,3.98369970728,17423,20.8982355496
24,40,Leandro Barbosa,17.9510811769,3.31797235023,3.54555122297,16926,10.3354513653
340,592,Rodney Stuckey,16.5799940281,3.83756345178,4.71687070767,16745,12.4506812271
102,162,DeMar DeRozan,18.9898386133,4.1207411835,2.73281530185,16730,14.9308971201
159,255,James Harden,22.5199760048,4.92813437313,5.17216556689,16670,21.7988068016
243,408,O.J. Mayo,16.2664422268,3.63159793195,3.43032343393,16634,15.0599688105
93,143,Stephen Curry,22.6021783275,4.39948310873,7.07771829426,16251,35.6112207411
385,663,Lou Williams,18.7542899776,3.15145486197,4.48768962945,16084,9.03428842084
174,281,George Hill,14.2821493258,3.95331052526,4.08130408533,14907,21.9072595685
120,191,Tyreke Evans,17.9937694704,5.27601246106,5.71464174455,14445,18.7220855092
304,532,J.J. Redick,16.7146464646,2.77525252525,2.85606060606,14256,20.3666294827
146,233,Eric Gordon,17.5896851403,2.66448211996,3.48767630717,14038,15.2759071824
309,541,Nate Robinson,17.6575875486,3.75097276265,4.73670557717,13878,8.82267577343
312,544,Derrick Rose,20.2669222828,3.7773189795,6.42383129332,13562,24.8508488034
393,680,Nick Young,18.3388523475,3.11363120889,1.58403266047,13227,28.2876959432
166,272,Gordon Hayward,16.9027865738,4.62539582014,4.00411652945,12632,9.859251601
57,82,Aaron Brooks,17.1283256399,2.91263113722,5.13336130927,11915,16.4894997387
353,613,Klay Thompson,20.0382375945,3.59781002868,2.59980881203,11507,18.0322255671
372,640,Kemba Walker,18.1968875056,4.07220987105,5.72094264117,11245,16.4902679707
139,222,Paul George,18.4801519125,6.96301654761,3.42128583055,11059,23.5530481021
227,384,Damian Lillard,20.5393006993,3.78629370629,6.17286713287,10725,22.8436981984
355,615,Marcus Thornton,18.5588571429,4.24114285714,2.11542857143,10500,21.3376653268
213,361,Brandon Knight,17.3386911596,3.83696900115,4.99770378875,10452,11.5074625544
348,607,Isaiah Thomas,20.6008583691,3.15266707541,6.19865113427,9786,24.4451505202
188,306,Kyrie Irving,21.9889663787,3.68356406787,5.85697928594,9607,23.8971485089
370,638,Dion Waiters,16.6003184713,3.27707006369,3.14808917197,7536,16.6498562922
268,465,Gary Neal,16.6612364802,3.64855120844,2.74963279477,7489,18.4612259666
35,52,Bradley Beal,17.4180821918,4.11287671233,3.24,7300,11.6639723163
275,483,Victor Oladipo,16.930204206,4.67967083206,4.47119780555,6562,10.2756909065
90,138,Jordan Crawford,17.7618147448,3.77126654064,4.61058601134,6348,7.58351477257
108,170,Toney Douglas,14.4855106888,4.03040380048,4.17862232779,6315,20.8603897161
63,93,Alec Burks,16.6396761134,4.54251012146,3.03643724696,5928,15.8928305735
257,439,Patty Mills,17.2259194396,3.36252189142,4.11208406305,5139,10.0733773647
381,657,Andrew Wiggins,18.5328089422,4.24011591803,1.98219830263,4831,22.7286880803
246,413,C.J. McCollum,18.721321505,3.59008871214,3.42490058122,3269,9.08973206145
219,372,Zach LaVine,16.4389182468,4.17407522537,5.02455704072,3217,14.4591209422
80,121,Jordan Clarkson,17.1251175917,4.49294449671,3.84948259643,3189,8.9698546751
128,208,Jimmer Fredette,16.1387209672,2.70314985682,3.69965001591,3143,18.1741579405
392,677,Tony Wroten,18.7724317295,4.24837451235,5.1144343303,3076,9.91575358989
37,54,Rodrigue Beaubois,15.9861878453,4.20165745856,4.64917127072,2896,14.451590976
180,291,Rodney Hood,16.0880121396,3.83763277693,2.92261001517,2636,18.5715464383
