,pid,pname,ppm,rpm,apm,MP,dist
71,107,DeMarre Carroll,12.7467300832,6.10701545779,1.8644470868,7569,41.0580091116
384,661,Derrick Williams,15.4832027619,7.00305404329,1.12813703359,7531,42.1838174026
263,450,Marcus Morris,14.6146788991,6.14894765246,2.01079330815,7412,34.2437400733
59,88,Shannon Brown,15.3155955792,3.73311502251,2.24969300041,7329,26.626653853
252,431,Khris Middleton,15.6855363322,4.51432525952,2.92484429066,7225,20.240907588
198,328,James Johnson,12.9657947686,6.30698476574,2.91290600747,6958,35.6088173049
324,562,Iman Shumpert,10.615118292,4.95441431044,2.84593190998,6932,42.6201268972
327,568,Kyle Singler,11.004048583,4.70561017929,1.28571428571,6916,48.6380254388
313,545,Terrence Ross,14.0741190765,4.00789793439,1.37788578372,6584,37.2331451168
9,17,Alan Anderson,12.9858573018,3.79278563483,1.97934212617,6293,36.5974471875
13,23,Giannis Antetokounmpo,13.7140093503,7.18491052716,2.89021441238,6203,36.9965452997
91,139,Jae Crowder,12.8490284006,5.71599402093,2.09267563528,6021,38.2305933405
70,104,Kentavious Caldwell-Pope,13.4319428287,3.58982881835,1.5256772478,6017,38.3900497291
125,202,Landry Fields,10.368718802,6.54109816972,2.50981697171,6010,48.3604416442
86,129,Daequan Cook,12.6988152845,4.22292674787,1.45970298682,5993,41.0727205388
249,421,Ben McLemore,12.8091032609,3.5339673913,1.71807065217,5888,39.2279536809
179,289,Ryan Hollins,11.2855927879,6.65011056302,0.906276577649,5879,53.7343339625
85,128,Brian Cook,14.7339352098,7.10568242167,1.60594795539,5649,40.7009346211
273,473,Steve Novak,13.8471405665,3.75841795831,0.846606092998,5613,42.4512791747
160,256,Maurice Harkless,10.8334243583,5.69524849809,1.30420535227,5493,50.4467797974
389,668,Shawne Williams,11.8636363636,6.33755588674,1.47540983607,5368,47.2092205082
39,59,Patrick Beverley,11.8255033557,4.51006711409,3.89932885906,5364,34.169803258
306,537,Austin Rivers,12.2460959548,3.21053621825,3.40018814675,5315,33.8826760714
126,204,Evan Fournier,15.6084878608,3.70942458421,2.84916841904,5231,21.2550412702
295,515,Quincy Pondexter,10.4672748909,4.04839349464,1.64220547402,5042,48.4265453813
351,611,Hollis Thompson,11.3498262114,4.51932120221,1.56041709262,4891,45.4638788554
261,446,E'Twaun Moore,12.0402600126,3.45732858042,3.28370727616,4769,34.7341830432
107,169,Chris Douglas-Roberts,12.9093814198,3.87856653732,2.08719470441,4381,36.1417855924
346,603,Garrett Temple,9.91183937226,3.82183244865,3.2070159243,4333,44.5216860636
151,240,Donte Greene,13.0255928622,5.07161305471,1.54684198169,4259,39.9166560461
98,154,Austin Daye,13.2604065828,6.65634075508,1.84704743466,4132,41.3277516293
394,681,Sam Young,13.034795764,5.20121028744,1.63388804841,3966,39.4653134192
11,19,James Anderson,12.0213468869,4.71156289708,2.42439644219,3935,37.9635501762
34,51,Kent Bazemore,14.0809778457,5.58288770053,2.84186401833,3927,29.1078382818
158,254,Tim Hardaway,15.9018404908,2.91717791411,2.00613496933,3912,28.6504587849
349,608,Lance Thomas,10.9866529774,5.04517453799,1.32135523614,3896,48.777941229
29,46,Will Barton,16.0410094637,6.69085173502,2.83911671924,3804,27.874678041
344,601,Mirza Teletovic,16.097404335,6.83007760235,1.70511105165,3737,35.8516411637
265,452,Donatas Motiejunas,14.7682368775,7.45195154778,2.02530282638,3715,39.6483553488
334,580,Tony Snell,10.331882481,4.54406964091,1.70402611534,3676,48.6954382059
388,667,Reggie Williams,15.4651353568,4.79409351928,2.92370795734,3657,21.4478473024
238,402,Cartier Martin,13.2032229185,4.97403760072,1.29991047449,3351,41.0241242231
47,71,Bojan Bogdanovic,13.3141633527,4.25084123585,1.3545426736,3269,39.772249051
216,367,Jeremy Lamb,16.6041731548,5.54967299907,2.46652133292,3211,23.5029931806
377,650,Sonny Weems,13.06841612,4.35238987816,2.80037488285,3201,31.4383447659
88,135,Robert Covington,16.5377833753,6.5516372796,1.89294710327,3176,32.3586917589
296,516,Otto Porter,12.2533290029,5.89282234492,1.82396882105,3079,42.4686865663
22,37,Luke Babbitt,11.8411647915,6.12309728657,1.35804103243,3022,47.4387880718
371,639,Henry Walker,12.8793103448,4.78647214854,1.82625994695,3016,38.1557573432
176,284,Solomon Hill,10.6666666667,5.1498470948,2.69113149847,2943,43.1913837347
169,275,Xavier Henry,13.0120481928,4.34974182444,1.48709122203,2905,39.8026034987
58,83,MarShon Brooks,15.7844228095,4.48122392211,2.90403337969,2876,19.9945107977
132,213,Langston Galloway,12.3722241805,4.97426859358,3.52767007402,2837,32.6292614724
210,355,Ryan Kelly,11.652360515,5.65236051502,2.58798283262,2796,40.2730014205
329,571,Marcus Smart,11.3274725275,4.77362637363,4.08791208791,2730,36.6699507627
149,237,Jerami Grant,11.7676842889,5.83023082651,2.15785554728,2686,42.2769888803
180,291,Rodney Hood,16.0880121396,3.83763277693,2.92261001517,2636,18.8917455149
103,163,Yakhouba Diawara,9.02065799541,3.55317521041,1.68018362663,2614,54.4832686813
342,597,Jeff Taylor,11.3219017927,3.68978955573,1.50116913484,2566,46.0568285109
