index,pid,pname,ppm,rpm,apm,MP
134,215,Kevin Garnett,18.6154944663,10.4691181721,3.88789717958,50418
112,176,Tim Duncan,20.2318308054,11.4821619312,3.21239051485,46810
274,474,Dirk Nowitzki,22.4822533026,8.0498243648,2.609055449,46403
136,218,Pau Gasol,18.6109557493,9.6607994736,3.31238690574,36474
54,79,Elton Brand,17.3923021479,9.3173417904,2.24811878334,34685
52,77,Chris Bosh,19.3763777555,8.55811623246,2.02342184369,31936
303,531,Zach Randolph,19.1564475142,10.6355639539,2.03375252492,30694
182,294,Dwight Howard,18.2369674517,12.9105583488,1.53492987563,30232
332,576,Josh Smith,16.1752190238,8.28035043805,3.46057571965,28764
76,113,Tyson Chandler,10.9876417563,11.700785112,1.07298633324,27512
277,485,Jermaine O'Neal,17.5092822687,9.55255079667,1.80105247771,27364
51,76,Carlos Boozer,18.7032452325,10.9628638341,2.58012713282,26901
379,652,David West,17.5005788118,8.12651704694,2.60129205721,26779
339,591,Amar'e Stoudemire,22.0468139436,9.08530970712,1.44852400665,25847
4,11,LaMarcus Aldridge,19.7435519528,8.61311717023,1.96168017686,24426
193,314,Al Jefferson,19.6304294074,10.5095194923,1.80993983351,24266
222,377,David Lee,16.7961399276,10.782468838,2.68757539204,22383
173,280,Nene,15.4680514789,8.29731316324,2.47748927523,22145
94,144,Samuel Dalembert,11.3325325695,11.5454125474,0.773353044442,21646
256,438,Paul Millsap,17.1538102789,9.15194478127,2.65441656562,21442
163,269,Udonis Haslem,10.9225322192,9.59354199122,1.21342586036,21183
144,228,Drew Gooden,15.4825801314,10.0481783795,1.60541509058,20092
207,349,Chris Kaman,15.0364397264,10.2282331326,1.68112687557,19594
135,217,Marc Gasol,15.2817092236,8.31245440334,3.27920792079,19190
167,273,Brendan Haywood,10.6728051392,9.39507494647,0.85182012848,18680
280,491,Zaza Pachulia,11.9961290323,9.94064516129,2.07483870968,18600
181,293,Al Horford,15.3742071882,9.61327045048,2.91949910555,18447
48,72,Andrew Bogut,12.7518731676,10.9594961451,2.74427190792,18418
83,125,Nick Collison,10.406805708,9.09484083425,1.78616904501,18220
319,555,Luis Scola,16.9594340665,9.38101027965,2.2601967503,18094
271,470,Joakim Noah,11.3782051282,11.5106837607,3.64102564103,16848
289,507,Kendrick Perkins,8.9428537199,9.53588115491,1.69282376902,16694
232,390,Kevin Love,20.1562441781,12.76755884,2.65366701857,16103
259,443,Nazr Mohammed,13.1983366935,10.6693548387,0.850554435484,15872
119,190,Reggie Evans,7.60364757257,13.3277677883,1.05882352941,15572
30,47,Brandon Bass,14.2750958352,7.55974270678,1.33090767332,15391
230,388,Brook Lopez,20.0422101331,8.19479583142,1.49360949073,15257
205,345,DeAndre Jordan,11.2886781269,12.7089508002,0.735032602253,15183
171,278,Roy Hibbert,14.8882725832,9.2852614897,2.00396196513,15144
364,628,Anderson Varejao,10.9293982265,10.805117444,1.72774656468,14773
164,270,Spencer Hawes,13.6675794085,9.03450164294,2.89320920044,14608
352,612,Jason Thompson,12.6975687031,9.41717749156,1.54969350506,14519
147,234,Marcin Gortat,14.2812803104,10.8992656228,1.34682000831,14434
197,323,Amir Johnson,12.1114731369,9.16409012132,1.76942807626,14425
156,247,Blake Griffin,21.9196882177,9.75349711184,4.09130767625,14369
185,301,Serge Ibaka,14.426636884,9.29526734608,0.726232025688,14326
366,633,Charlie Villanueva,18.036158024,7.99494085262,1.45971281899,13441
260,444,Greg Monroe,16.8744951384,10.6976813762,2.60643231114,13370
184,299,Kris Humphries,13.4719902839,10.9442841961,1.38545620161,13174
44,67,Andray Blatche,16.4833895041,8.73567645643,2.30524795378,12462
87,133,DeMarcus Cousins,22.6986899563,12.2707423581,3.08879184862,12366
