index,pid,pname,ppm,rpm,apm,MP
194,317,Richard Jefferson,16.0315481015,4.98734335058,2.58233056924,32078
301,526,Tayshaun Prince,12.9344215074,4.94402304369,2.74795967355,31245
18,31,Metta World Peace,14.9859844701,5.09198698328,3.02735444792,31037
64,94,Caron Butler,15.7942144956,5.57787770421,2.54930425238,28243
101,161,Luol Deng,15.8280059799,6.24304121877,2.4064924895,28094
255,435,Mike Miller,14.2549460106,5.64823537938,3.44111892166,27598
104,164,Boris Diaw,11.5120835332,5.86695199793,4.60775559901,27103
113,177,Mike Dunleavy,14.7221426636,5.59430274413,2.9246429539,25837
137,219,Rudy Gay,18.625760974,5.93463633451,2.2882089074,24968
214,362,Kyle Korver,13.6284987277,4.26317702654,2.50090876045,24759
373,641,Gerald Wallace,14.4590999151,7.04249727063,2.5110185597,24731
317,552,John Salmons,12.6103413315,3.95860087868,3.31987157824,23672
387,665,Marvin Williams,13.0194495413,6.46183486239,1.62,21800
16,29,Trevor Ariza,12.973553719,6.02479338843,2.62809917355,21780
333,577,J.R. Smith,17.8079002079,4.36091476091,2.98378378378,21645
239,404,Kevin Martin,20.7937896965,3.79223712068,2.26619618913,21255
395,682,Thaddeus Young,16.3707762557,6.8401826484,1.76621004566,19710
154,245,Jeff Green,15.7494275101,5.52338303394,1.85761538853,19651
28,44,Matt Barnes,12.5711619225,6.95286980868,2.6486234251,19287
148,236,Danny Granger,19.1907827122,5.62384378212,2.1362038189,18487
2,5,Arron Afflalo,14.690864142,3.81481065288,2.47780649511,17798
66,96,Rasual Butler,12.7511835876,4.04418726986,1.37822198843,17109
129,210,Channing Frye,13.8974662562,7.31423158892,1.5664219749,16892
102,162,DeMar DeRozan,18.9898386133,4.1207411835,2.73281530185,16730
243,408,O.J. Mayo,16.2664422268,3.63159793195,3.43032343393,16634
31,48,Nicolas Batum,13.28547885,5.97472990295,3.71580296649,16383
240,405,Wesley Matthews,15.6429244986,3.44904758911,2.27899666813,15907
26,42,Andrea Bargnani,17.9316715171,5.78742249779,1.48728331014,15806
111,175,Jared Dudley,12.5750286369,5.03092783505,2.31615120275,15714
221,376,Courtney Lee,12.7878593017,3.40531155553,2.04874284612,15551
6,14,Tony Allen,13.2853243208,5.54764071234,2.20408163265,15386
183,295,Josh Howard,17.0501628664,6.76846905537,1.91609120521,15350
55,80,Corey Brewer,14.1928973922,4.29065653256,2.40833442537,15262
321,557,Thabo Sefolosha,9.12942743009,5.96804260985,2.31531291611,15020
155,246,Willie Green,14.7550564838,3.17310424136,2.47906378949,14783
46,70,Keith Bogans,10.5494596269,4.50278791216,2.1460728299,14527
304,532,J.J. Redick,16.7146464646,2.77525252525,2.85606060606,14256
376,649,Martell Webster,13.0815006468,4.68564036223,1.5213454075,13914
77,114,Wilson Chandler,15.8698763826,6.13142485361,2.04033832141,13833
143,227,Ryan Gomes,13.1721013147,5.98707568893,1.90388472109,13463
49,73,Matt Bonner,12.4903498191,6.4107358263,1.4900482509,13264
393,680,Nick Young,18.3388523475,3.11363120889,1.58403266047,13227
