index,pid,pname,ppm,rpm,apm,MP
275,483,Victor Oladipo,16.930204206,4.67967083206,4.47119780555,6562
299,524,Ronnie Price,10.115933044,3.26968381897,4.76503409795,6452
90,138,Jordan Crawford,17.7618147448,3.77126654064,4.61058601134,6348
108,170,Toney Douglas,14.4855106888,4.03040380048,4.17862232779,6315
72,108,Michael Carter-Williams,16.0570386337,6.17211076107,6.85259492621,6031
62,92,Trey Burke,15.433076384,3.22284512964,5.36089698669,5708
257,439,Patty Mills,17.2259194396,3.36252189142,4.11208406305,5139
308,539,Brian Roberts,14.3644177052,2.86978942845,5.05113880533,4654
206,347,Cory Joseph,12.4855967078,4.21399176955,4.51851851852,4374
330,574,Ish Smith,12.1729026261,4.54287706251,7.40413664885,4303
300,525,Pablo Prigioni,7.4491646778,3.87494033413,6.01431980907,4190
298,523,A.J. Price,13.9546958514,3.45431407483,5.19521506745,3929
287,503,Elfrid Payton,11.5809329595,4.79021157278,7.45144022432,3923
242,407,Eric Maynor,10.5431211499,3.21560574949,7.02258726899,3896
100,160,Matthew Dellavedova,9.64535335232,3.3828630598,5.71265855553,3863
235,397,Shelvin Mack,12.7465512578,3.82688666486,6.45604544225,3697
218,370,Shane Larkin,9.94680851064,3.53191489362,5.21276595745,3384
325,563,Alexey Shved,14.84683583,3.90706206053,5.06267196576,3271
246,413,C.J. McCollum,18.721321505,3.59008871214,3.42490058122,3269
318,554,Dennis Schroder,16.7940995698,4.11555009219,7.19114935464,3254
219,372,Zach LaVine,16.4389182468,4.17407522537,5.02455704072,3217
80,121,Jordan Clarkson,17.1251175917,4.49294449671,3.84948259643,3189
128,208,Jimmer Fredette,16.1387209672,2.70314985682,3.69965001591,3143
328,570,Donald Sloan,11.1812037335,4.36820083682,6.03669134213,3107
392,677,Tony Wroten,18.7724317295,4.24837451235,5.1144343303,3076
234,392,John Lucas III,14.1358024691,2.92592592593,4.45679012346,2916
37,54,Rodrigue Beaubois,15.9861878453,4.20165745856,4.64917127072,2896
237,401,Kendall Marshall,9.2528616025,2.97190426639,9.37773152966,2883
245,412,Ray McCallum,11.8647493199,4.0575204042,4.74310143801,2573
